OpenMP: enabled, max_threads=16

=== Single-statevector per-op throughput (CPU) ===
k    op              dim          ns/op        Gamp/s    
24   MEAS_DIAG       16777216     4228657.0    7.935     
24   MEAS_INTERFERE  16777216     4132684.5    8.119     
25   H               33554432     6569388.1    5.108     
25   T               33554432     6553688.0    2.560     
25   CZ              33554432     13043000.0   0.643     
25   CNOT            33554432     12660298.4   1.325     
25   U2              33554432     13720220.0   2.446     
25   U4              33554432     17114193.0   1.961     
25   EXPAND          33554432     15415946.8   4.353     
25   EXPAND_T        33554432     22839809.0   2.938     
25   MEAS_DIAG       33554432     15245207.0   4.402     
25   MEAS_INTERFERE  33554432     19502357.0   3.441     
26   H               67108864     13674824.8   4.907     
26   T               67108864     6986689.9    4.803     
26   CZ              67108864     15617285.0   1.074     
26   CNOT            67108864     14251858.2   2.354     
26   U2              67108864     13940873.3   4.814     
26   U4              67108864     20856210.0   3.218     
26   EXPAND          67108864     23569779.8   5.694     
26   EXPAND_T        67108864     31864696.0   4.212     
26   MEAS_DIAG       67108864     20829873.8   6.444     
26   MEAS_INTERFERE  67108864     19997709.5   6.712     
27   H               134217728    28471425.5   4.714     
27   T               134217728    19111861.5   3.511     
27   CZ              134217728    28647798.0   1.171     
27   CNOT            134217728    37146866.5   1.807     
27   U2              134217728    28072740.5   4.781     
27   U4              134217728    42990098.0   3.122     
27   EXPAND          134217728    47181223.5   5.689     
27   EXPAND_T        134217728    59791321.0   4.490     
27   MEAS_DIAG       134217728    48145485.5   5.576     
27   MEAS_INTERFERE  134217728    41003627.5   6.547     
28   H               268435456    57761035.0   4.647     
28   T               268435456    30306148.0   4.429     
28   CZ              268435456    57456610.0   1.168     
28   CNOT            268435456    58541249.0   2.293     
28   U2              268435456    59193013.0   4.535     
28   U4              268435456    83770444.0   3.204     
28   EXPAND          268435456    94658123.0   5.672     
28   EXPAND_T        268435456    114826531.0  4.675     
28   MEAS_DIAG       268435456    84808417.0   6.330     
28   MEAS_INTERFERE  268435456    83004242.0   6.468     
29   H               536870912    115539926.0  4.647     
29   T               536870912    63500122.0   4.227     
29   CZ              536870912    115961731.0  1.157     
29   CNOT            536870912    137790643.0  1.948     
29   U2              536870912    116179805.0  4.621     
29   U4              536870912    169787264.0  3.162     
29   EXPAND          536870912    191828894.0  5.597     
29   EXPAND_T        536870912    239802425.0  4.478     
29   MEAS_DIAG       536870912    171950132.0  6.244     
29   MEAS_INTERFERE  536870912    168172479.0  6.385     
30   H               1073741824   244374939.0  4.394     
30   T               1073741824   126173653.0  4.255     
30   CZ              1073741824   235121812.0  1.142     
30   CNOT            1073741824   260934830.0  2.057     
30   U2              1073741824   253519839.0  4.235     
30   U4              1073741824   350699742.0  3.062     
30   EXPAND          1073741824   386006874.0  5.563     
30   EXPAND_T        1073741824   467807482.0  4.591     
30   MEAS_DIAG       1073741824   343828347.0  6.246     
30   MEAS_INTERFERE  1073741824   341096067.0  6.296     

=== Batched-across-shots throughput (CPU, batched) ===
k    B        shots          shots/s        Mshot-lyr/s 
12   256      256            20231.1        0.081       
12   1024     1024           19534.0        0.078       
12   4096     4096           20329.2        0.081       
12   16384    16384          20050.9        0.080       
16   256      256            1093.2         0.004       
16   1024     1024           1118.2         0.004       
18   256      256            228.6          0.001       

=== Batched-across-shots throughput (CPU, batchedmeas) ===
k    B        shots          shots/s        Mshot-lyr/s 
12   256      256            19120.6        0.076       
12   1024     1024           19202.4        0.077       
12   4096     4096           19424.7        0.078       
12   16384    16384          19018.7        0.076       
16   256      256            1052.3         0.004       
16   1024     1024           1067.9         0.004       
18   256      256            217.8          0.001       

=== Batched-across-shots throughput (CPU, batchedreal) ===
k    B        shots          shots/s        Mshot-lyr/s 
12   256      256            85557.0        0.342       
12   1024     1024           87377.0        0.350       
12   4096     4096           86677.7        0.347       
12   16384    16384          86665.5        0.347       
16   256      256            6373.1         0.025       
16   1024     1024           6361.6         0.025       
18   256      256            1185.2         0.005       
GPU: NVIDIA H200  sm_90  150.1 GB HBM
[validate] k=12  gates+U2/U4+expand+meas: max|cpu-gpu| = 5.204e-17, reduce-sum err = 4.219e-15  OK
[validate] k=18  gates+U2/U4+expand+meas: max|cpu-gpu| = 9.975e-18, reduce-sum err = 3.408e-14  OK
[validate-batched] k=12 B=8  kb_* + completed meas round: max|cpu-gpu| = 4.857e-17, per-shot prob err = 1.943e-15  OK
[validate-batched] k=16 B=8  kb_* + completed meas round: max|cpu-gpu| = 1.908e-17, per-shot prob err = 3.830e-15  OK
[validate-devmeas] k=12 B=8  on-device sampling: rng mismatches = 0, max|cpu-gpu| = 3.816e-17, prob err = 1.832e-15  OK
[validate-devmeas] k=16 B=8  on-device sampling: rng mismatches = 0, max|cpu-gpu| = 1.431e-17, prob err = 1.005e-14  OK
[validate-mimd] k=12 B=8 layers=3 global: max|cpu-gpu| = 6.245e-17  OK
[validate-mimd] k=12 B=8 layers=3 shared: max|cpu-gpu| = 6.245e-17  OK
[validate-mimd] k=16 B=8 layers=3 global: max|cpu-gpu| = 2.602e-17  OK
[validate-mimd] k=16 shared variant skipped (needs 1052672 B > opt-in 232448 B)
[validate-real] k=12 B=8  SoA real mix: rng mismatches = 0, frame mismatches = 0, max|cpu-gpu| = 2.082e-17, prob err = 3.553e-15  OK
[validate-real] k=12 B=8  MIMD real mix (global): frame mismatches = 0, max|cpu-gpu| = 1.735e-17  OK
[validate-real] k=12 B=8  MIMD real mix (shared): frame mismatches = 0, max|cpu-gpu| = 1.735e-17  OK
[validate-real] k=16 B=8  SoA real mix: rng mismatches = 0, frame mismatches = 0, max|cpu-gpu| = 5.204e-18, prob err = 1.643e-14  OK
[validate-real] k=16 B=8  MIMD real mix (global): frame mismatches = 0, max|cpu-gpu| = 6.505e-18  OK
[validate-real] k=16 MIMD shared variant skipped (needs 1052672 B > opt-in 232448 B)
[transfer] k=10  0.0 MB  H2D 1.5 GB/s  D2H 1.6 GB/s
[transfer] k=14  0.3 MB  H2D 10.1 GB/s  D2H 7.9 GB/s
[transfer] k=18  4.2 MB  H2D 14.6 GB/s  D2H 13.9 GB/s
[transfer] k=22  67.1 MB  H2D 15.4 GB/s  D2H 15.7 GB/s
[transfer] k=26  1073.7 MB  H2D 9.5 GB/s  D2H 16.3 GB/s
[transfer] k=30  17179.9 MB  H2D 9.5 GB/s  D2H 16.4 GB/s

=== Single-statevector per-op throughput (GPU, FP64) ===
k    op              dim          ns/op        Gamp/s    
10   H               1024         2498.5       0.410     
10   T               1024         2474.5       0.207     
10   CZ              1024         2518.7       0.102     
10   CNOT            1024         2514.6       0.204     
10   U2              1024         2439.5       0.420     
10   U4              1024         3507.8       0.292     
10   EXPAND          1024         2473.1       0.828     
10   EXPAND_T        1024         2575.1       0.795     
10   MEAS_DIAG       1024         5123.8       0.400     
10   MEAS_INTERFERE  1024         5040.3       0.406     
11   H               2048         2489.4       0.823     
11   T               2048         2472.6       0.414     
11   CZ              2048         2475.1       0.207     
11   CNOT            2048         2492.2       0.411     
11   U2              2048         2495.5       0.821     
11   U4              2048         3574.5       0.573     
11   EXPAND          2048         2519.9       1.625     
11   EXPAND_T        2048         2491.6       1.644     
11   MEAS_DIAG       2048         5051.0       0.811     
11   MEAS_INTERFERE  2048         5055.4       0.810     
12   H               4096         2489.2       1.645     
12   T               4096         2488.2       0.823     
12   CZ              4096         2492.5       0.411     
12   CNOT            4096         2518.6       0.813     
12   U2              4096         2498.8       1.639     
12   U4              4096         3560.8       1.150     
12   EXPAND          4096         2531.3       3.236     
12   EXPAND_T        4096         2504.2       3.271     
12   MEAS_DIAG       4096         5068.5       1.616     
12   MEAS_INTERFERE  4096         5039.4       1.626     
13   H               8192         2490.0       3.290     
13   T               8192         2489.2       1.645     
13   CZ              8192         2508.4       0.816     
13   CNOT            8192         2563.5       1.598     
13   U2              8192         2517.1       3.254     
13   U4              8192         3630.8       2.256     
13   EXPAND          8192         2525.9       6.487     
13   EXPAND_T        8192         2519.8       6.502     
13   MEAS_DIAG       8192         5085.4       3.222     
13   MEAS_INTERFERE  8192         5094.7       3.216     
14   H               16384        2498.1       6.559     
14   T               16384        2481.3       3.302     
14   CZ              16384        2495.5       1.641     
14   CNOT            16384        2551.8       3.210     
14   U2              16384        2506.9       6.536     
14   U4              16384        3699.5       4.429     
14   EXPAND          16384        2492.6       13.146    
14   EXPAND_T        16384        2526.4       12.970    
14   MEAS_DIAG       16384        5029.2       6.516     
14   MEAS_INTERFERE  16384        5062.8       6.472     
15   H               32768        2505.6       13.078    
15   T               32768        2504.2       6.543     
15   CZ              32768        2502.4       3.274     
15   CNOT            32768        2671.6       6.133     
15   U2              32768        2484.3       13.190    
15   U4              32768        3842.3       8.528     
15   EXPAND          32768        2524.0       25.965    
15   EXPAND_T        32768        2499.4       26.221    
15   MEAS_DIAG       32768        5039.1       13.006    
15   MEAS_INTERFERE  32768        5019.9       13.055    
16   H               65536        2478.0       26.447    
16   T               65536        2491.8       13.150    
16   CZ              65536        2503.6       6.544     
16   CNOT            65536        2696.8       12.151    
16   U2              65536        2509.1       26.119    
16   U4              65536        3953.3       16.577    
16   EXPAND          65536        2507.3       52.276    
16   EXPAND_T        65536        2509.8       52.225    
16   MEAS_DIAG       65536        5040.3       26.005    
16   MEAS_INTERFERE  65536        5061.1       25.898    
17   H               131072       2507.9       52.264    
17   T               131072       2509.1       26.119    
17   CZ              131072       2513.7       13.036    
17   CNOT            131072       3196.8       20.501    
17   U2              131072       2502.9       52.368    
17   U4              131072       4961.1       26.420    
17   EXPAND          131072       2515.1       104.228   
17   EXPAND_T        131072       2510.5       104.420   
17   MEAS_DIAG       131072       5179.3       50.614    
17   MEAS_INTERFERE  131072       5241.2       50.016    
18   H               262144       2794.1       93.821    
18   T               262144       2547.8       51.446    
18   CZ              262144       2725.1       24.049    
