# tag,k,op_or_B,dim_or_shots,metric1,metric2
single,26,MEAS_DIAG,67108864,20829873.8,6.444
single,26,MEAS_INTERFERE,67108864,19997709.5,6.712
single,27,H,134217728,28471425.5,4.714
single,27,T,134217728,19111861.5,3.511
single,27,CZ,134217728,28647798.0,1.171
single,27,CNOT,134217728,37146866.5,1.807
single,27,U2,134217728,28072740.5,4.781
single,27,U4,134217728,42990098.0,3.122
single,27,EXPAND,134217728,47181223.5,5.689
single,27,EXPAND_T,134217728,59791321.0,4.490
single,27,MEAS_DIAG,134217728,48145485.5,5.576
single,27,MEAS_INTERFERE,134217728,41003627.5,6.547
single,28,H,268435456,57761035.0,4.647
single,28,T,268435456,30306148.0,4.429
single,28,CZ,268435456,57456610.0,1.168
single,28,CNOT,268435456,58541249.0,2.293
single,28,U2,268435456,59193013.0,4.535
single,28,U4,268435456,83770444.0,3.204
single,28,EXPAND,268435456,94658123.0,5.672
single,28,EXPAND_T,268435456,114826531.0,4.675
single,28,MEAS_DIAG,268435456,84808417.0,6.330
single,28,MEAS_INTERFERE,268435456,83004242.0,6.468
single,29,H,536870912,115539926.0,4.647
single,29,T,536870912,63500122.0,4.227
single,29,CZ,536870912,115961731.0,1.157
single,29,CNOT,536870912,137790643.0,1.948
single,29,U2,536870912,116179805.0,4.621
single,29,U4,536870912,169787264.0,3.162
single,29,EXPAND,536870912,191828894.0,5.597
single,29,EXPAND_T,536870912,239802425.0,4.478
single,29,MEAS_DIAG,536870912,171950132.0,6.244
single,29,MEAS_INTERFERE,536870912,168172479.0,6.385
single,30,H,1073741824,244374939.0,4.394
single,30,T,1073741824,126173653.0,4.255
single,30,CZ,1073741824,235121812.0,1.142
single,30,CNOT,1073741824,260934830.0,2.057
single,30,U2,1073741824,253519839.0,4.235
single,30,U4,1073741824,350699742.0,3.062
single,30,EXPAND,1073741824,386006874.0,5.563
single,30,EXPAND_T,1073741824,467807482.0,4.591
single,30,MEAS_DIAG,1073741824,343828347.0,6.246
single,30,MEAS_INTERFERE,1073741824,341096067.0,6.296
batched,12,256,256,20231.1,0.081
batched,12,1024,1024,19534.0,0.078
batched,12,4096,4096,20329.2,0.081
batched,12,16384,16384,20050.9,0.080
batched,16,256,256,1093.2,0.004
batched,16,1024,1024,1118.2,0.004
batched,18,256,256,228.6,0.001
batchedmeas,12,256,256,19120.6,0.076
batchedmeas,12,1024,1024,19202.4,0.077
batchedmeas,12,4096,4096,19424.7,0.078
batchedmeas,12,16384,16384,19018.7,0.076
batchedmeas,16,256,256,1052.3,0.004
batchedmeas,16,1024,1024,1067.9,0.004
batchedmeas,18,256,256,217.8,0.001
batchedreal,12,256,256,85557.0,0.342
batchedreal,12,1024,1024,87377.0,0.350
batchedreal,12,4096,4096,86677.7,0.347
batchedreal,12,16384,16384,86665.5,0.347
batchedreal,16,256,256,6373.1,0.025
batchedreal,16,1024,1024,6361.6,0.025
batchedreal,18,256,256,1185.2,0.005
