# tag,k,op_or_B,dim_or_shots_or_bytes,metric1,metric2
singlegpu,21,MEAS_INTERFERE,2097152,17890.2,234.447
singlegpu,22,H,4194304,35227.3,119.064
singlegpu,22,T,4194304,14315.6,146.494
singlegpu,22,CZ,4194304,33595.1,31.212
singlegpu,22,CNOT,4194304,54635.0,38.385
singlegpu,22,U2,4194304,35260.5,118.952
singlegpu,22,U4,4194304,98068.5,42.769
singlegpu,22,EXPAND,4194304,34374.2,244.038
singlegpu,22,EXPAND_T,4194304,34335.8,244.311
singlegpu,22,MEAS_DIAG,4194304,39741.0,211.082
singlegpu,22,MEAS_INTERFERE,4194304,45542.3,184.194
singlegpu,23,H,8388608,66785.2,125.606
singlegpu,23,T,8388608,36594.4,114.616
singlegpu,23,CZ,8388608,62992.7,33.292
singlegpu,23,CNOT,8388608,102721.9,40.832
singlegpu,23,U2,8388608,66783.9,125.608
singlegpu,23,U4,8388608,189387.4,44.293
singlegpu,23,EXPAND,8388608,65547.1,255.957
singlegpu,23,EXPAND_T,8388608,65528.5,256.029
singlegpu,23,MEAS_DIAG,8388608,72599.7,231.092
singlegpu,23,MEAS_INTERFERE,8388608,85830.4,195.469
singlegpu,24,H,16777216,129747.5,129.307
singlegpu,24,T,16777216,66998.9,125.205
singlegpu,24,CZ,16777216,122792.9,34.158
singlegpu,24,CNOT,16777216,199240.9,42.103
singlegpu,24,U2,16777216,129633.1,129.421
singlegpu,24,U4,16777216,373676.5,44.898
singlegpu,24,EXPAND,16777216,128028.8,262.085
singlegpu,24,EXPAND_T,16777216,127964.1,262.217
singlegpu,24,MEAS_DIAG,16777216,133722.0,250.927
singlegpu,24,MEAS_INTERFERE,16777216,161469.1,207.807
singlegpu,25,H,33554432,255866.3,131.141
singlegpu,25,T,33554432,129407.4,129.647
singlegpu,25,CZ,33554432,245518.7,34.167
singlegpu,25,CNOT,33554432,391529.7,42.850
singlegpu,25,U2,33554432,255938.7,131.103
singlegpu,25,U4,33554432,743793.5,45.113
singlegpu,25,EXPAND,33554432,252098.5,266.201
singlegpu,25,EXPAND_T,33554432,252016.2,266.288
singlegpu,25,MEAS_DIAG,33554432,254364.5,263.830
singlegpu,25,MEAS_INTERFERE,33554432,311373.0,215.526
singlegpu,26,H,67108864,509122.5,131.813
singlegpu,26,T,67108864,265444.2,126.409
singlegpu,26,CZ,67108864,496020.5,33.824
singlegpu,26,CNOT,67108864,776295.5,43.224
singlegpu,26,U2,67108864,509073.5,131.825
singlegpu,26,U4,67108864,1487473.0,45.116
singlegpu,26,EXPAND,67108864,501028.0,267.885
singlegpu,26,EXPAND_T,67108864,500973.0,267.914
singlegpu,26,MEAS_DIAG,67108864,497721.0,269.665
singlegpu,26,MEAS_INTERFERE,67108864,613175.0,218.890
singlegpu,27,H,134217728,1015672.0,132.147
singlegpu,27,T,134217728,528240.0,127.042
singlegpu,27,CZ,134217728,995689.0,33.700
singlegpu,27,CNOT,134217728,1546379.0,43.397
singlegpu,27,U2,134217728,1015614.0,132.154
singlegpu,27,U4,134217728,2979592.1,45.046
singlegpu,27,EXPAND,134217728,1001922.0,267.921
singlegpu,27,EXPAND_T,134217728,1001652.0,267.993
singlegpu,27,MEAS_DIAG,134217728,984772.0,272.586
singlegpu,27,MEAS_INTERFERE,134217728,1217057.9,220.561
singlegpu,28,H,268435456,2030911.9,132.175
singlegpu,28,T,268435456,1045923.0,128.325
singlegpu,28,CZ,268435456,1995248.0,33.634
singlegpu,28,CNOT,268435456,3086600.1,43.484
singlegpu,28,U2,268435456,2029912.0,132.240
singlegpu,28,U4,268435456,5956416.1,45.067
singlegpu,28,EXPAND,268435456,2003475.9,267.970
singlegpu,28,EXPAND_T,268435456,2003050.1,268.027
singlegpu,28,MEAS_DIAG,268435456,1953918.0,274.766
singlegpu,28,MEAS_INTERFERE,268435456,2423856.0,221.495
singlegpu,29,H,536870912,4061820.0,132.175
singlegpu,29,T,536870912,2089953.9,128.441
singlegpu,29,CZ,536870912,4002180.1,33.536
singlegpu,29,CNOT,536870912,6168196.2,43.519
singlegpu,29,U2,536870912,4061996.0,132.169
singlegpu,29,U4,536870912,11903623.6,45.101
singlegpu,29,EXPAND,536870912,4009808.1,267.779
singlegpu,29,EXPAND_T,536870912,4010808.0,267.712
singlegpu,29,MEAS_DIAG,536870912,3908756.0,274.702
singlegpu,29,MEAS_INTERFERE,536870912,4843567.8,221.684
singlegpu,30,H,1073741824,8114447.6,132.325
singlegpu,30,T,1073741824,4170064.0,128.744
singlegpu,30,CZ,1073741824,7986911.8,33.609
singlegpu,30,CNOT,1073741824,12331944.5,43.535
singlegpu,30,U2,1073741824,8112855.9,132.351
singlegpu,30,U4,1073741824,23800352.1,45.115
singlegpu,30,EXPAND,1073741824,8007247.9,268.192
singlegpu,30,EXPAND_T,1073741824,8004391.7,268.288
singlegpu,30,MEAS_DIAG,1073741824,7813576.2,274.840
singlegpu,30,MEAS_INTERFERE,1073741824,9687064.2,221.686
batchedgpu,12,256,256,235114.3,0.940
batchedgpu,12,1024,1024,239562.2,0.958
batchedgpu,12,4096,4096,248413.5,0.994
batchedgpu,12,16384,16384,254728.0,1.019
batchedgpu,12,65536,65536,255611.0,1.022
batchedgpu,16,256,256,12332.3,0.049
batchedgpu,16,1024,1024,12657.7,0.051
batchedgpu,16,4096,4096,12715.0,0.051
batchedgpu,18,256,256,2868.8,0.011
batchedgpu,18,1024,1024,2883.9,0.012
batchedgpu,20,256,256,660.1,0.003
batchedmeasgpu,12,256,256,204004.2,47.754
measround,12,256,256,47.754,0.187
batchedmeasgpu,12,1024,1024,225001.9,81.902
measround,12,1024,1024,81.902,0.080
batchedmeasgpu,12,4096,4096,236365.5,223.817
measround,12,4096,4096,223.817,0.055
batchedmeasgpu,12,16384,16384,243750.6,742.413
measround,12,16384,16384,742.413,0.045
batchedmeasgpu,12,65536,65536,244968.2,2835.647
measround,12,65536,65536,2835.647,0.043
batchedmeasgpu,16,256,256,11854.0,222.081
measround,16,256,256,222.081,0.868
batchedmeasgpu,16,1024,1024,12245.9,684.525
measround,16,1024,1024,684.525,0.668
batchedmeasgpu,16,4096,4096,12319.4,2583.682
measround,16,4096,4096,2583.682,0.631
batchedmeasgpu,18,256,256,2778.7,745.786
measround,18,256,256,745.786,2.913
batchedmeasgpu,18,1024,1024,2802.0,2592.906
measround,18,1024,1024,2592.906,2.532
batchedmeasgpu,20,256,256,641.4,2852.996
measround,20,256,256,2852.996,11.145
batcheddevgpu,12,256,256,222472.9,22.271
