# tag,k,op_or_B,dim_or_shots_or_bytes,metric1,metric2
batcheddevgpu,26,32,32,7.6,75587.976
measrounddev,26,32,32,75587.976,2362.124
batcheddevgpu,28,8,8,1.5,264197.407
measrounddev,28,8,8,264197.407,33024.676
mimdgpu,22,8,8,8.4,0
mimdgpu,22,32,32,30.7,0
mimdgpu,22,128,128,92.6,0
mimdgpu,22,256,256,128.0,0
mimdgpu,22,1024,1024,142.0,0
mimdgpu,24,8,8,1.9,0
mimdgpu,24,32,32,7.0,0
mimdgpu,24,128,128,21.4,0
mimdgpu,24,256,256,29.7,0
mimdgpu,26,8,8,0.4,0
mimdgpu,26,32,32,1.6,0
mimdgpu,28,8,8,0.1,0
batchedrealgpu,22,8,8,323.1,4323.519
measroundreal,22,8,8,4323.519,540.440
batchedrealgpu,22,32,32,638.3,5198.365
measroundreal,22,32,32,5198.365,162.449
batchedrealgpu,22,128,128,833.2,9151.523
measroundreal,22,128,128,9151.523,71.496
batchedrealgpu,22,256,256,873.8,14739.871
measroundreal,22,256,256,14739.871,57.578
batchedrealgpu,22,1024,1024,887.9,54433.461
measroundreal,22,1024,1024,54433.461,53.158
batchedrealgpu,24,8,8,80.6,17483.275
measroundreal,24,8,8,17483.275,2185.409
batchedrealgpu,24,32,32,159.4,21001.480
measroundreal,24,32,32,21001.480,656.296
batchedrealgpu,24,128,128,208.7,36609.984
measroundreal,24,128,128,36609.984,286.015
batchedrealgpu,24,256,256,219.0,58896.552
measroundreal,24,256,256,58896.552,230.065
batchedrealgpu,26,8,8,20.2,69921.370
measroundreal,26,8,8,69921.370,8740.171
batchedrealgpu,26,32,32,39.9,83903.337
measroundreal,26,32,32,83903.337,2621.979
batchedrealgpu,28,8,8,5.1,279307.035
measroundreal,28,8,8,279307.035,34913.379
mimdrealgpu,22,8,8,54.2,0
mimdrealgpu,22,32,32,201.1,0
mimdrealgpu,22,128,128,615.4,0
mimdrealgpu,22,256,256,856.4,0
mimdrealgpu,22,1024,1024,949.7,0
mimdrealgpu,24,8,8,13.6,0
mimdrealgpu,24,32,32,50.2,0
mimdrealgpu,24,128,128,153.9,0
mimdrealgpu,24,256,256,213.6,0
mimdrealgpu,26,8,8,3.4,0
mimdrealgpu,26,32,32,12.5,0
mimdrealgpu,28,8,8,0.8,0
